S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,RSI,MACD,PromC,Down%,IntCov,SYMBOL,SECTOR
1.0,Vasu Bhagnani,149.85,192.14,524.53,197.35,331.82,38.11,63.79,73.09,0.0,0.0,123.73,94.31,11.15,0.0,0.0,5.82,532011,Entertainment
2.0,Modern Threads,66.36,7.49,230.8,-9.3,-0.42,-3.58,15.64,65.1,11.76,0.0,-0.31,93.32,7.91,0.0,0.0,11.24,MODTHREAD,Textiles
3.0,Technvision Ven.,1677.4,137.52,1053.41,59.89,325.76,19.5,249.22,74.32,0.0,0.0,31.86,99.36,146.67,0.0,0.0,9.3,501421,IT - Software
4.0,Captain Techno.,198.0,58.43,202.16,,,-1.86,-19.79,72.09,0.0,0.0,,66.06,10.63,0.0,0.0,5.41,540652,"Castings, Forgings & Fastners"
5.0,Macpower CNC,1151.35,63.22,1151.83,24.77,100.86,4.82,14.12,73.17,0.48,0.04,11.74,77.51,43.43,0.01,0.0,102.75,MACPOWER,Engineering
6.0,Apis India,189.95,2.96,104.66,-10.31,364.88,0.01,209.31,74.72,0.0,0.0,-8.2,100.0,27.96,0.0,0.0,5.34,506166,FMCG
7.0,Gayatri Rubbers,262.5,129.84,150.62,,,-1.19,10.91,73.37,0.0,0.0,,76.98,16.35,0.0,0.0,10.75,GRCL,Plantation & Plantation Products
8.0,Sayaji Hot. Pune,382.6,8.45,116.56,4.01,10.76,18.77,52.47,74.94,0.0,0.0,,100.0,44.83,-0.01,0.0,26.96,544090,Hotels & Restaurants
9.0,Srivari Spices &,324.15,73.98,231.5,,,,,69.94,,,,70.78,0.67,-29.96,0.48,6.03,SSFL,FMCG
10.0,Alphalogic Tech.,91.8,96.22,430.16,159.27,27.17,13.99,-12.22,73.0,0.0,0.0,171.6,56.79,-0.13,0.0,0.76,11.39,542770,IT - Software
11.0,Crown Lifters,219.0,40.0,227.98,43.0,311.76,38.36,33.33,75.0,0.0,0.0,15.42,85.01,11.62,0.0,0.79,5.1,CROWN,Miscellaneous
12.0,Suraj,250.75,16.62,460.52,-0.3,80.79,9.62,68.87,75.0,0.0,0.0,-14.39,52.69,-1.36,0.0,0.87,11.96,531638,Steel
13.0,Sika Interplant,1960.0,57.41,831.01,77.47,115.0,42.39,-5.59,71.72,0.0,2.6,53.82,69.32,-28.11,0.0,1.16,77.0,523606,Aerospace & Defence
14.0,J.G.Chemicals,225.3,16.25,882.83,,,,,70.99,5.4,7.1,,,-0.14,,1.44,15.16,JGCHEM,Chemicals
15.0,Prithvi Exchange,279.0,22.85,230.17,51.72,214.81,1.74,11.26,71.95,0.0,0.0,40.33,84.65,13.81,0.0,1.8,95.87,531688,Finance
16.0,RIR Power Electr,1015.0,129.62,706.44,4.62,-40.43,-11.44,-28.66,70.5,0.02,0.0,18.88,66.83,-9.75,-1.01,2.4,6.82,517035,Consumer Durables
17.0,Shraddha Prime,179.7,25.77,363.0,,51950.0,249.64,372.85,75.0,0.0,0.0,,62.75,4.65,0.0,2.5,632.0,531771,Realty
18.0,Wealth First Por,676.7,24.17,721.03,77.07,148.4,10.47,-1.17,74.01,0.0,0.0,70.7,67.14,34.0,0.0,3.13,559.57,WEALTH,Stock/ Commodity Brokers
19.0,Caspian Corporat,58.05,67.3,244.97,12409.52,940.0,29.92,139.08,74.96,0.0,0.0,14378.18,67.83,3.45,0.0,3.25,44.0,534732,Finance
20.0,Krishanveer Forg,91.5,21.93,100.12,20.72,964.71,24.51,345.45,72.47,0.0,0.0,-4.35,72.3,-0.4,0.0,3.58,15.0,513369,"Castings, Forgings & Fastners"
21.0,Krishna Defence,418.0,81.72,513.9,,,-20.11,-28.14,73.38,0.0,0.0,,57.42,-5.12,0.0,3.69,7.49,KRISHNADEF,Aerospace & Defence
22.0,Chemfab Alka.,706.45,25.62,1005.0,2.85,-47.96,8.48,52.52,72.88,0.07,0.29,-6.74,65.56,42.32,-0.11,3.85,96.89,CHEMFAB,Chemicals
23.0,Pratham EPC,118.8,27.72,210.98,,,,,72.97,2.31,10.52,,,-2.74,-27.03,4.85,13.38,PRATHAM,Infrastructure Developers & Operators
24.0,Alacrity Sec.,62.51,14.43,131.77,155.51,-156.36,36.67,385.26,65.73,0.0,0.0,,64.7,5.18,0.27,4.86,17.14,535916,Finance
25.0,U P Hotels,1440.0,28.4,777.6,12.87,31.41,91.31,1875.0,88.39,0.0,0.0,31.5,52.38,9.51,0.0,4.95,921.75,509960,Hotels & Restaurants
26.0,Sona Machinery,143.0,25.45,196.26,,,,,73.59,9.97,3.9,,,-0.01,,5.83,21.42,SONAMAC,Engineering
27.0,Digikore Studios,562.6,81.53,356.29,,,,,66.55,7.89,2.79,,60.81,16.02,,5.9,9.07,DIGIKORE,Entertainment
28.0,Kiran Vyapar,182.7,11.17,498.46,41.11,-36.34,182.74,59.69,74.96,0.0,0.0,263.83,50.85,1.67,0.0,6.16,6.71,537750,Finance
29.0,Eimco Elecon(I),1771.6,28.93,1022.21,26.67,54.4,-5.61,-36.02,74.06,0.0,0.0,46.51,70.36,18.47,0.0,6.71,58.09,EIMCOELECO,Capital Goods-Non Electrical Equipment
30.0,Nupur Recyclers,99.3,83.94,681.58,45.25,-63.22,-0.81,-71.2,72.53,0.22,0.0,,67.51,0.33,0.0,6.76,50.24,NRL,Trading
31.0,G M Polyplast,188.9,34.0,254.27,,,11.7,112.97,73.54,0.0,0.42,,47.03,0.98,0.0,7.36,27.43,543239,Plastic products
32.0,Visco Trade,265.0,6.61,127.26,197.63,3308.11,-2.77,47.03,67.15,0.0,0.0,233.93,60.76,0.26,2.15,7.5,5.03,540097,Finance
33.0,Indo Tech.Trans.,1087.1,28.39,1154.52,66.79,178.12,45.57,51.06,75.0,0.0,0.0,49.58,53.61,-4.15,0.0,8.22,14.38,INDOTECH,Capital Goods - Electrical Equipment
34.0,Par Drugs & Che.,227.55,19.71,279.99,4.67,82.89,-7.3,-30.06,74.21,0.0,0.07,4.46,66.59,1.03,0.0,8.25,190.4,PAR,Pharmaceuticals
35.0,Shree Ganesh Rem,674.6,36.86,809.98,27.19,10.34,-16.31,-26.72,69.33,0.0,0.0,45.12,49.27,-2.29,0.0,8.34,377.63,540737,Pharmaceuticals
36.0,Markolines Pavem,153.1,18.34,292.53,,,,,72.2,1.82,0.0,,53.82,-1.96,0.0,8.87,7.87,543364,Infrastructure Developers & Operators
37.0,VTM,71.86,16.44,289.08,3.45,307.96,8.44,-8.53,75.0,0.0,0.0,-5.38,52.8,0.39,0.0,9.04,29.54,532893,Textiles
38.0,Interiors,270.55,31.86,189.26,,,,,69.93,,,,54.3,-4.83,-25.15,9.1,6.57,INM,Miscellaneous
39.0,IST,949.0,9.22,1106.93,12.29,56.53,17.15,0.16,74.98,0.0,0.0,1.96,47.5,-6.97,0.0,9.62,48.88,508807,Auto Ancillaries
40.0,Vinsys IT Servic,334.0,32.66,490.25,,,,,68.13,2.19,5.48,,70.49,7.38,-24.6,9.73,8.33,VINSYS,Computer Education
41.0,Radix Industries,153.6,112.44,230.51,-15.73,45.65,-17.19,48.89,74.96,0.0,0.0,55.93,53.84,2.61,0.0,9.75,9.63,531412,Miscellaneous
42.0,TPL Plastech,70.21,31.11,547.66,20.09,16.67,5.41,38.03,74.86,0.08,0.0,16.05,62.94,-0.97,0.0,9.99,5.28,TPLPLASTEH,Packaging
43.0,Emerald Finance,35.48,24.62,106.96,12.13,8.04,5.56,27.37,67.8,0.0,1.31,36.59,64.51,1.87,0.0,10.09,6.07,538882,Finance
44.0,Nitin Castings,626.0,30.64,321.87,-3.52,25.0,-15.98,-5.96,71.39,0.0,0.0,6.61,58.66,13.18,0.0,10.29,102.36,508875,"Castings, Forgings & Fastners"
45.0,Z F Steering,920.2,17.58,834.59,3.87,169.13,-4.88,-7.6,67.18,0.02,0.0,11.42,62.47,-17.94,0.0,10.4,83.46,505163,Auto Ancillaries
46.0,Dhoot Indl.Fin,215.05,1.14,135.86,-30.7,4468.87,290.52,725.49,69.07,0.02,0.0,-35.88,58.61,2.91,0.0,10.6,25.88,526971,Trading
47.0,Forbes & Co,509.0,14.7,656.61,18.73,345.12,3.1,169.29,73.85,0.1,11.58,-7.8,58.54,16.63,0.0,10.83,24.3,502865,Engineering
48.0,Veer Global Inf.,156.0,278.46,253.4,-37.02,-55.56,9.46,-14.29,72.35,0.0,0.0,,56.24,1.85,1.84,10.86,31.5,543241,Construction
49.0,Bemco Hydraulics,1024.0,29.48,223.93,36.69,172.09,-34.2,-55.51,74.69,0.0,0.0,100.91,60.99,-15.35,0.0,10.96,6.82,522650,Capital Goods-Non Electrical Equipment
50.0,MMP Industries,264.95,23.61,673.01,10.33,41.97,11.74,91.22,74.48,0.47,5.96,2.89,53.91,-0.14,0.0,11.11,7.0,MMP,Non Ferrous Metals
51.0,Neelamalai Agro,3767.2,11.16,234.34,27.01,66.78,-9.21,-44.5,72.45,0.68,0.0,6.65,47.57,-19.33,0.0,11.26,1083.0,508670,Plantation & Plantation Products
52.0,N R Agarwal Inds,477.3,6.27,812.32,-11.74,62.93,-1.78,-16.87,73.97,0.01,0.39,-20.63,55.48,-3.15,0.0,11.28,17.74,NRAIL,Paper
53.0,Emkay Taps & Cut,665.0,12.73,709.64,,,10.98,24.18,74.99,0.0,0.0,,54.3,-6.55,0.0,11.33,471.2,EMKAYTOOLS,Engineering
54.0,Hexa Tradex,152.2,9.54,840.92,663.36,898.64,946.23,1783.97,92.13,0.01,0.05,57104.38,47.35,-1.39,0.0,11.9,5.01,HEXATRADEX,Trading
55.0,Vikram Thermo,152.0,19.56,476.66,16.64,95.15,-6.8,-21.94,65.94,0.0,0.0,18.81,60.01,-0.35,0.0,12.14,27.3,530477,Pharmaceuticals
56.0,Sandesh,1261.0,7.46,954.58,-8.4,74.06,25.93,122.44,74.81,0.0,0.0,-14.25,49.75,-29.92,0.0,12.25,967.41,SANDESH,Media - Print/Television/Radio
57.0,Bimetal Bearings,635.75,28.02,243.49,1.89,-62.67,-6.73,-67.98,74.88,0.0,0.0,4.04,67.4,-3.51,0.0,12.91,15.61,505681,Bearings
58.0,NDR Auto Compon.,858.0,27.54,1020.37,32.67,50.35,-11.01,-17.25,73.06,0.0,0.01,66.01,56.16,4.93,0.0,13.15,18.74,NDRAUTO,Auto Ancillaries
59.0,Metroglobal,143.5,11.56,176.99,69.84,21.52,11.39,82.27,74.73,0.07,0.0,10.87,48.87,-1.66,0.0,13.29,26.38,500159,Trading
60.0,Wise Travel,212.0,49.48,504.83,,,,,69.76,,,,54.89,-6.11,,13.47,9.99,WTICAB,E-Commerce/App based Aggregator
